,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
1578,Maruti Suzuki,Celerio,2016,"71,000 km",1st,Petrol,VXI AMT,"₹ 3,95,000"
1579,Toyota,Etios Liva,2013,"86,000 km",3rd,Diesel,2013-2014 Diesel TRD Sportivo,"₹ 5,70,000"
1580,Maruti Suzuki,Swift,2013,"125,000 km",3rd,Diesel,2011-2014 VDI,"₹ 3,95,000"
1581,Datsun,RediGO,2018,"40,000 km",1st,Petrol,1.0 Limited Edition 2018,"₹ 2,50,000"
1582,Maruti Suzuki,Zen,1995,"136,329 km",4+,Petrol,VX,"₹ 35,000"
1583,Tata,Sumo Victa,2005,"220,000 km",4+,Diesel,Others,"₹ 1,20,000"
1584,Ford,Fiesta,2009,"85,000 km",2nd,Diesel,ZXi 1.6,"₹ 1,65,000"
1585,Audi,Q3,2015,99 km,--,Diesel,--,"₹ 19,99,999"
1586,Hyundai,Grand i10,2015,"22,000 km",1st,Petrol,Asta Automatic 1.2 Kappa VTVT,"₹ 5,30,000"
1587,Maruti Suzuki,Wagon R,2018,"4,200 km",1st,Petrol,VXI AMT,"₹ 5,00,000"
1588,Hyundai,Verna,2011,"110,000 km",2nd,Diesel,CRDi 1.6 SX,"₹ 3,25,000"
1589,Renault,Duster,2020,"46,000 km",1st,Diesel,RXS 110PS,"₹ 10,50,000"
1590,Hyundai,Xcent,2015,"43,000 km",2nd,Petrol,SX Automatic 1.2 (O),"₹ 4,85,000"
1591,Maruti Suzuki,Alto,2020,"123,456 km",2nd,Petrol,LXi,"₹ 15,000"
1592,Maruti Suzuki,800,1994,"100,000 km",4th,Petrol,Others,"₹ 40,000"
1593,Toyota,Innova Crysta,2017,"70,000 km",1st,Diesel,2.4 V,"₹ 20,00,000"
1594,Maruti Suzuki,Swift Dzire,2015,"41,000 km",2nd,Petrol,VXI,"₹ 5,25,000"
1595,Toyota,Innova,2012,"130,000 km",3rd,Diesel,2012-2013 2.5 VX (Diesel) 7 Seater BS IV,"₹ 9,25,000"
1596,Hyundai,Santro Xing,2010,"97,000 km",1st,Petrol,GLS,"₹ 2,10,000"
1597,Maruti Suzuki,A-Star,2009,"115,000 km",2nd,Petrol,Zxi,"₹ 1,89,999"
1598,Nissan,Terrano,2017,"107,000 km",1st,Diesel,XV D Pre,"₹ 8,25,000"
1599,Maruti Suzuki,Baleno,2017,"58,000 km",2nd,Petrol,1.2 Delta,"₹ 5,65,000"
1600,Premier,Rio,2010,1 km,1st,Diesel,2009-2011 DX,"₹ 1,65,000"
1601,Tata,Sumo Victa,2005,"150,000 km",2nd,Diesel,Sumo Victa GX TC 8 STR,"₹ 1,10,000"
1602,Toyota,Etios Liva,2015,"140,000 km",1st,Diesel,1.4 GD,"₹ 5,29,999"
1603,Toyota,Etios Liva,2013,"52,000 km",2nd,Petrol,2013-2014 G,"₹ 3,75,000"
1604,Toyota,Corolla Altis,2009,1 km,1st,Petrol,Altis 1.8 J,"₹ 2,90,000"
1605,BMW,X5 M,2018,0 km,1st,Diesel,Others,"₹ 50,000"
1606,Maruti Suzuki,Alto,2008,"40,000 km",1st,Petrol,2005-2010 LXi BSIII,"₹ 2,00,000"
1607,Maruti Suzuki,Swift Dzire,2020,"6,000 km",1st,Petrol,VXI,"₹ 8,00,000"
1608,Toyota,Fortuner,2012,"155,000 km",2nd,Diesel,3.0 4x2 Automatic,"₹ 16,00,000"
1609,Chevrolet,Spark,2012,1 km,1st,Petrol,2007-2012 1.0 LT,"₹ 1,10,000"
1610,Chevrolet,Cruze,2010,"62,000 km",2nd,Diesel,2010-2011 LTZ,"₹ 2,90,000"
1611,Maruti Suzuki,Wagon R,2009,"85,000 km",1st,Petrol,2006-2010 VXI Minor,"₹ 2,25,000"
1612,Maruti Suzuki,Ritz,2015,"48,000 km",1st,Petrol,ZXi,"₹ 4,59,999"
1613,Toyota,Fortuner,2014,"100,000 km",2nd,Diesel,2011-2016 4x2 Manual,"₹ 16,75,000"
1614,Toyota,Fortuner,2014,"180,000 km",2nd,Diesel,3.0 4x2 Automatic,"₹ 17,50,000"
1615,Hyundai,Santro Xing,2006,"90,000 km",4th,Petrol,GLS,"₹ 1,10,000"
1616,Hyundai,EON,2014,"34,000 km",2nd,Petrol,Magna +,"₹ 2,60,000"
1617,Toyota,Corolla Altis,2017,"130,300 km",2nd,Diesel,2013-2017 D-4D J,"₹ 12,60,000"
1618,Maruti Suzuki,Ignis,2021,"1,000 km",1st,Petrol,1.2 Sigma,"₹ 4,95,000"
1619,Volkswagen,Polo,2016,"24,500 km",2nd,Petrol,1.2 MPI Comfortline,"₹ 5,65,000"
1620,Maruti Suzuki,Wagon R,2009,"80,000 km",2nd,Petrol,2006-2010 VXI Minor,"₹ 1,85,000"
1621,Hyundai,Creta,2020,"15,000 km",1st,Petrol,Facelift,"₹ 19,75,000"
1622,Honda,Amaze,2015,"87,000 km",2nd,Diesel,2013-2016 E i-Dtech,"₹ 4,35,000"
1623,Nissan,Terrano,2015,"90,000 km",1st,Diesel,XL D Option,"₹ 8,75,000"
1624,Toyota,Innova,2010,"50,400 km",1st,Diesel,2004-2011 2.5 G4 Diesel 7-seater,"₹ 8,00,000"
1625,Maruti Suzuki,Alto K10,2013,"290,000 km",1st,Petrol,LX Optional,"₹ 2,80,000"
1626,Volvo,XC 90,2016,"72,000 km",2nd,Diesel,D5 Inscription,"₹ 55,00,000"
1627,Porsche,Panamera,2016,"16,000 km",1st,Diesel,Diesel,"₹ 70,00,000"
1628,Tata,Others,2000,0 km,4+,Petrol,Others,"₹ 1,00,000"
1629,Honda,City,2014,"64,124 km",1st,Petrol,2014-2015 i VTEC SV,"₹ 6,15,000"
1630,Ford,Ecosport,2014,"67,000 km",3rd,Petrol,2013-2015 1.5 DV5 MT Trend,"₹ 5,80,000"
1631,Maruti Suzuki,Swift,2008,"112,000 km",2nd,Diesel,VDI,"₹ 2,20,000"
1632,Hyundai,Others,2018,"50,000 km",2nd,Diesel,Others,"₹ 2,00,000"
1633,Volkswagen,Polo,2018,"8,500 km",1st,Petrol,GT TSI,"₹ 10,25,000"
1634,Hyundai,EON,2016,"28,508 km",1st,Petrol,Era +,"₹ 2,70,000"
1635,--,--,--,--,--,--,--,"₹ 17,000"
1636,--,--,--,--,--,--,--,"₹ 3,333"
1637,Maruti Suzuki,Alto,2012,"100,000 km",1st,Petrol,LXi,"₹ 1,75,000"
1638,Mahindra,Supro,2021,"3,520 km",1st,Diesel,Others,"₹ 25,000"
1639,Tata,Tiago,2021,100 km,1st,Petrol,Others,"₹ 1,00,000"
1640,Honda,City ZX,2007,"87,000 km",2nd,Petrol,EXi,"₹ 2,15,000"
1641,Honda,City,2016,"60,000 km",1st,Petrol,2015-2017 i VTEC V,"₹ 7,45,000"
1642,Ashok Leyland,Others,2018,"92,000 km",1st,Diesel,Others,"₹ 6,35,000"
1643,Maruti Suzuki,Alto,2004,"102,000 km",3rd,Petrol,2000-2005 AX,"₹ 59,000"
1644,Mahindra,Others,2010,"150,000 km",2nd,Diesel,Others,"₹ 5,50,000"
1645,Chevrolet,Aveo,2006,"80,000 km",3rd,Petrol,1.6 LT,"₹ 89,000"
1646,Nissan,Terrano,2014,"150,000 km",3rd,Diesel,2013-2017 XL 85 PS,"₹ 4,90,000"
1647,Tata,Nexon,2021,100 km,1st,Petrol,AMT 1.2 Revotron XMA,"₹ 5,00,000"
1648,Maruti Suzuki,Zen,2000,"75,000 km",2nd,Petrol,LX,"₹ 55,000"
1649,Mahindra,Others,2018,"25,090 km",2nd,Diesel,Others,"₹ 3,00,000"
1650,Ford,Figo,2016,"100,000 km",1st,Diesel,1.5D Titanium MT,"₹ 4,50,000"
1651,Toyota,Innova,2011,"100,500 km",1st,Diesel,2.5 G (Diesel) 7 Seater BS IV,"₹ 7,00,000"
1652,Honda,CR-V,2003,"185,000 km",4+,Petrol,2.4 Automatic,"₹ 1,89,000"
1653,Mahindra,Thar,2021,"2,500 km",1st,Petrol,DI 4X4 PS,"₹ 15,50,000"
1654,Toyota,Fortuner,2016,"90,000 km",1st,Diesel,3.0 4x2 Automatic,"₹ 29,19,000"
1655,Audi,Q3,2014,"58,000 km",2nd,Diesel,35 TDI Premium + Sunroof,"₹ 19,00,000"
1656,Maruti Suzuki,Celerio,2016,"410,000 km",1st,Petrol,VXI AMT,"₹ 4,30,000"
1657,Renault,Duster,2013,"110,000 km",1st,Diesel,110PS Diesel RxL,"₹ 4,75,000"
1658,Fiat,Punto,2011,"75,000 km",2nd,Diesel,1.4 Emotion,"₹ 1,75,000"
1659,Datsun,RediGO,2021,0 km,1st,Petrol,T,"₹ 15,000"
1660,Maruti Suzuki,800,2004,"40,000 km",1st,Petrol,AC BSII,"₹ 75,000"
1661,Mahindra,Others,2018,"31,000 km",1st,Diesel,Others,"₹ 3,25,000"
1662,Tata,Indica Vista,2010,"138,000 km",1st,Diesel,2008-2013 Aura 1.3 Quadrajet,"₹ 1,25,000"
1663,--,--,--,--,--,--,--,"₹ 2,500"
1664,Ford,Aspire,2020,0 km,1st,Petrol,Others,"₹ 8,55,000"
1665,Tata,Safari Storme,2013,"64,500 km",2nd,Diesel,LX,"₹ 6,15,000"
1666,Hyundai,Santro,2003,"42,000 km",1st,Petrol,LP zipPlus,"₹ 70,000"
1667,Maruti Suzuki,Ertiga,2015,"133,000 km",1st,Diesel,ZDI,"₹ 5,90,000"
1668,Tata,Others,2015,"82,000 km",2nd,Diesel,Others,"₹ 2,05,000"
1669,Hyundai,Verna,2016,"60,000 km",1st,Petrol,2016-2017 1.6 VTVT S,"₹ 6,50,000"
1670,Hyundai,Santro,2010,"89,700 km",2nd,Petrol,GLS I - Euro I,"₹ 1,70,000"
1671,Toyota,Corolla Altis,2015,"78,000 km",2nd,Diesel,2013-2017 D-4D J,"₹ 6,20,000"
1672,Maruti Suzuki,Alto,2007,"100,000 km",3rd,Petrol,2000-2005 LXI,"₹ 1,05,000"
1673,BMW,3 Series,2020,"5,400 km",1st,Petrol,330i Sport Line,"₹ 49,00,000"
1674,Maruti Suzuki,Wagon R,2003,"98,350 km",2nd,Petrol,1999-2006 LXI,"₹ 1,15,000"
1675,Maruti Suzuki,Baleno,2019,"11,463 km",1st,Petrol,1.2 Delta,"₹ 7,00,000"
1676,Maruti Suzuki,Zen,1996,"100,000 km",3rd,Petrol,LXI,"₹ 50,000"
1677,Toyota,Etios Liva,2016,"150,000 km",1st,Diesel,2014-2016 GD,"₹ 5,50,000"
1678,Fiat,Punto,2011,"64,000 km",2nd,Diesel,Punto Emotion 1.2,"₹ 2,48,000"
1679,Maruti Suzuki,Wagon R,2018,"30,000 km",1st,Petrol,Others,"₹ 4,45,000"
1680,Tata,Sumo Gold,2013,"185,000 km",2nd,Diesel,EX BS IV,"₹ 2,60,000"
1681,Maruti Suzuki,800,2006,"80,500 km",4th,Petrol,AC,"₹ 65,000"
1682,Hyundai,Grand i10,2013,"67,000 km",2nd,Petrol,2013-2016 CRDi Sportz,"₹ 3,20,000"
1683,Maruti Suzuki,Esteem,2006,"118,440 km",3rd,Petrol,Lxi,"₹ 1,35,000"
1684,Maruti Suzuki,Ritz,2010,"75,000 km",2nd,Petrol,2009-2011 VXI,"₹ 2,76,000"
1685,Tata,Indica Vista,2012,"83,000 km",2nd,Diesel,2008-2013 Quadrajet LS,"₹ 1,65,000"
1686,Renault,KWID,2018,"30,000 km",1st,Petrol,1.0 RXT,"₹ 3,00,000"
1687,Ford,Fiesta,2009,"25,252 km",1st,Diesel,2004-2010 1.4 Duratorq ZXI,"₹ 15,000"
1688,Maruti Suzuki,Eeco,2018,"17,000 km",1st,Petrol,5 Seater AC,"₹ 3,98,000"
1689,Maruti Suzuki,Eeco,2017,"20,000 km",1st,Petrol,Smiles 5 Seater AC,"₹ 3,50,000"
1690,Toyota,Innova Crysta,2020,0 km,1st,Diesel,2.8 ZX AT,"₹ 6,00,000"
1691,--,--,--,--,--,--,--,₹ 500
1692,Toyota,Innova,2012,"112,345 km",2nd,Diesel,2.5 GX 8 STR-BS-III,"₹ 9,35,000"
1693,Maruti Suzuki,Wagon R,2020,"8,000 km",1st,Petrol,VXI Plus Optional,"₹ 5,35,000"
1694,Mercedes-Benz,GLA Class,2018,"18,000 km",1st,Diesel,200 d Sport,"₹ 33,00,000"
1695,Renault,KWID,2018,"28,000 km",1st,Petrol,1.0 RXT,"₹ 3,40,000"
1696,Porsche,Cayenne,2005,"57,300 km",2nd,Petrol,2003-2014 Turbo,"₹ 10,50,000"
1697,Maruti Suzuki,A-Star,2012,"29,000 km",2nd,Petrol,"Vxi (ABS), Automatic","₹ 2,85,000"
1698,Maruti Suzuki,Zen Estilo,2013,"92,345 km",2nd,Petrol,Zen Estilo LXI,"₹ 2,25,000"
1699,Ford,Ecosport,2013,"100,000 km",2nd,Diesel,1.5 TDCi Titanium Plus,"₹ 5,25,000"
1700,Tata,Indica V2,2001,"125,000 km",1st,Diesel,Others,"₹ 26,000"
1701,Maruti Suzuki,Wagon R,2016,"53,000 km",1st,Petrol,VXI,"₹ 4,10,000"
1702,--,--,--,--,--,--,--,
1703,Maruti Suzuki,Wagon R,2004,"73,000 km",2nd,Petrol,1999-2006 LXI,"₹ 1,10,000"
1704,Toyota,Etios,2015,"116,000 km",2nd,Diesel,2014-2016 GD,"₹ 4,35,000"
1705,Isuzu,D-Max V-Cross,2017,1 km,1st,Diesel,4X4,"₹ 13,60,000"
1706,Tata,Nano,2012,"55,000 km",1st,Petrol,2012-2015 Lx BSIII,"₹ 52,000"
1707,Renault,Triber,2019,"14,990 km",1st,Petrol,RXL,"₹ 5,75,000"
1708,Mahindra,Jeep,1996,"65,000 km",4+,Diesel,CL 500 MDI,"₹ 1,55,000"
1709,Maruti Suzuki,800,2003,"80,600 km",3rd,Petrol,AC,"₹ 65,000"
1710,Hyundai,i20,2014,"95,000 km",3rd,Diesel,1.4 Asta Option,"₹ 5,10,000"
1711,Maruti Suzuki,800,2008,"78,000 km",2nd,Petrol,AC,"₹ 82,000"
1712,Toyota,Innova,2007,"113,500 km",1st,Diesel,2.5 G (Diesel) 8 - Seater,"₹ 4,50,000"
1713,Mahindra,Scorpio,2011,"130,000 km",1st,Diesel,2002-2013 SLE BS IV,"₹ 3,80,000"
1714,Hyundai,i20,2012,"81,000 km",2nd,Diesel,2012-2014 Asta 1.4 CRDi,"₹ 3,20,000"
1715,--,--,--,--,--,--,--,--
1716,Maruti Suzuki,Swift Dzire,2013,"82,000 km",2nd,Petrol,VDI,"₹ 4,00,000"
1717,Ford,Fiesta,2008,"120,000 km",1st,Diesel,2008-2011 1.4 SXi TDCi ABS,"₹ 1,48,000"
1718,Maruti Suzuki,Alto 800,2014,"32,896 km",1st,--,--,"₹ 2,60,000"
1719,Maruti Suzuki,Alto K10,2014,"81,270 km",3rd,--,--,"₹ 2,90,000"
1720,Hyundai,Elantra,2004,"142,000 km",4+,Diesel,2.0 S,"₹ 98,000"
1721,Fiat,Premier Padmini,1994,"99,999 km",2nd,Diesel,Std,"₹ 1,30,000"
1722,Mercedes-Benz,CLA,2015,"35,000 km",1st,Diesel,--,"₹ 29,00,000"
1723,Maruti Suzuki,Wagon R,2016,"71,000 km",1st,Petrol,LXI,"₹ 3,75,000"
1724,Hyundai,EON,2016,"51,000 km",1st,Petrol,Magna,"₹ 2,75,000"
1725,Volkswagen,Jetta,2015,"120,000 km",1st,Diesel,2.0L TDI Highline AT,"₹ 11,60,000"
1726,Maruti Suzuki,Swift,2015,"125,000 km",2nd,Diesel,2011-2014 VDI,"₹ 4,30,000"
1727,Bajaj,Others,2015,"725,000 km",2nd,Diesel,Others,"₹ 98,000"
1728,--,--,--,--,--,--,--,₹ 850
1729,Maruti Suzuki,Swift,2020,"20,000 km",1st,Petrol,2018 ZXI,"₹ 2,00,000"
1730,Maruti Suzuki,Swift,2007,"98,000 km",2nd,Diesel,2004-2010 Vdi BSIII,"₹ 2,30,000"
1731,Fiat,Linea,2011,"62,000 km",2nd,Petrol,2007-2013 T Jet Plus,"₹ 2,45,000"
1732,--,--,--,--,--,--,--,"₹ 28,00,000"
1733,Renault,Duster,2015,"105,000 km",1st,Diesel,2012-2015 85PS Diesel RxL,"₹ 5,60,000"
1734,Porsche,Cayenne,2017,123 km,--,Diesel,--,"₹ 77,77,777"
1735,Hyundai,Creta,2015,82 km,1st,Diesel,1.6 CRDi AT S Plus,"₹ 9,75,000"
1736,Maruti Suzuki,Eeco,2016,"78,000 km",1st,Petrol,7 Seater Standard,"₹ 2,75,000"
1737,Maruti Suzuki,Alto,2011,"51,000 km",1st,Petrol,LXi,"₹ 1,90,000"
1738,Maruti Suzuki,Swift Dzire,2013,"48,000 km",1st,Petrol,1.2 Vxi BSIV,"₹ 4,24,000"
1739,Maruti Suzuki,Swift Dzire,2014,"80,000 km",2nd,Petrol,VXI,"₹ 4,25,000"
1740,Maruti Suzuki,Ritz,2016,"80,000 km",1st,Petrol,VXi,"₹ 4,40,000"
1741,Maruti Suzuki,Zen,2002,"75,000 km",4+,Petrol,LXI,"₹ 77,000"
1742,Chevrolet,Sail,2014,"60,000 km",1st,Petrol,1.2 LS ABS,"₹ 2,65,000"
1743,Maruti Suzuki,Alto,2007,"40,000 km",1st,Petrol,2005-2010 LXi BSIII,"₹ 1,40,000"
1744,Honda,CR-V,2014,"128,000 km",3rd,Petrol,2.4L 4WD AT,"₹ 16,50,000"
1745,Toyota,Innova,2006,"230,000 km",3rd,Diesel,2.5 G (Diesel) 7 Seater BS IV,"₹ 3,20,000"
1746,Maruti Suzuki,800,2001,"130,000 km",3rd,Petrol,Std,"₹ 57,000"
1747,Mahindra,KUV 100,2016,"16,860 km",1st,Petrol,2016-2017 mFALCON D75 K6 Plus 5str,"₹ 4,50,000"
1748,Hyundai,i10,2009,"73,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 1,85,000"
1749,Maruti Suzuki,Swift Dzire,2011,"253,000 km",1st,Diesel,Zdi BSIV,"₹ 2,75,000"
1750,Maruti Suzuki,Swift,2011,"120,000 km",2nd,Diesel,2011-2014 RS VDI,"₹ 3,00,000"
1751,Chevrolet,Optra Magnum,2009,"92,000 km",2nd,Diesel,2.0 Max,"₹ 1,65,000"
1752,Volkswagen,Jetta,2009,"120,000 km",2nd,Diesel,1.9 Highline TDI,"₹ 3,50,000"
1753,BMW,5 Series,2018,"100,000 km",2nd,Diesel,520d Luxury Line,"₹ 38,00,000"
1754,Ford,Fiesta,2014,"48,000 km",3rd,Diesel,Others,"₹ 3,75,000"
1755,Maruti Suzuki,Alto,2004,"740,048 km",1st,Petrol,2000-2005 LX BSII,"₹ 80,000"
1756,Toyota,Qualis,2003,"300,000 km",2nd,Diesel,GS G5,"₹ 1,50,000"
1757,Maruti Suzuki,Omni,2016,"52,000 km",1st,Petrol,5 Seater,"₹ 2,00,000"
1758,Hyundai,EON,2018,"23,700 km",2nd,Petrol,1.0 Era Plus,"₹ 2,80,000"
1759,Maruti Suzuki,Alto,2007,"84,000 km",3rd,Petrol,2000-2005 LX,"₹ 1,00,000"
1760,Maruti Suzuki,Wagon R,2017,"86,000 km",1st,Petrol,VXI,"₹ 3,80,000"
1761,--,--,--,--,--,--,--,--
1762,Maruti Suzuki,Swift,2008,"200,000 km",1st,Diesel,2011-2014 RS VDI,"₹ 1,70,000"
1763,Maruti Suzuki,Ritz,2011,"120,000 km",3rd,Petrol,2009-2011 VXI ABS,"₹ 3,20,000"
1764,Maruti Suzuki,Alto,2009,"74,000 km",1st,Petrol,LXi BS-IV,"₹ 1,49,000"
1765,Maruti Suzuki,Swift,2019,"35,000 km",1st,Petrol,LXI Option,"₹ 5,60,000"
1766,Hyundai,Santro Xing,2007.0,"77,000 km",2nd,Petrol,GLS,"₹ 1,40,000"
1767,Ford,Ecosport,2013,"93,000 km",1st,Diesel,1.5 Diesel Titanium Plus,"₹ 5,25,000"
1768,Mahindra,TUV 300,2016,"68,000 km",1st,Diesel,T8,"₹ 6,50,000"
1769,Maruti Suzuki,Alto 800,2014,"70,000 km",2nd,Petrol,2012-2016 LXI,"₹ 2,10,000"
1770,Toyota,Fortuner,2018,"70,000 km",1st,Diesel,3.0 4x2 Automatic,"₹ 32,00,000"
1771,Hyundai,Grand i10,2017,"23,974 km",2nd,Petrol,1.2 Kappa Magna,"₹ 4,65,000"
1772,Maruti Suzuki,Alto 800,2018,"9,650 km",1st,Petrol,LXI,"₹ 3,10,000"
1773,Maruti Suzuki,800,2003,"50,751 km",4+,Petrol,AC,"₹ 69,000"
1774,Hyundai,Grand i10,2016,"33,067 km",1st,Petrol,1.2 Kappa Magna,"₹ 4,25,000"
1775,Hyundai,Santro Xing,2006,"110,265 km",4+,Petrol,GLS,"₹ 95,000"
1776,Ford,Figo,2010,"64,126 km",1st,Diesel,Diesel,"₹ 1,85,000"
1777,Maruti Suzuki,Alto,2004,"81,929 km",1st,Petrol,LX,"₹ 88,000"
1778,Tata,Indigo,2003,"74,586 km",3rd,Petrol,GLS,"₹ 65,000"
1779,Hyundai,Santro Xing,2008,"54,986 km",1st,Petrol,GL,"₹ 1,38,000"
1780,Hyundai,EON,2017,"53,641 km",1st,Petrol,D-Lite +,"₹ 2,60,000"
1781,Maruti Suzuki,Swift Dzire,2014,"62,505 km",1st,Petrol,VXI 1.2,"₹ 4,75,000"
1782,Maruti Suzuki,Alto 800,2017,"57,858 km",1st,Petrol,LXI,"₹ 2,90,000"
1783,Maruti Suzuki,Omni,2010,"78,958 km",2nd,Petrol,5 Seater BSIV,"₹ 1,58,000"
1784,Tata,Indica V2,2013,"82,130 km",2nd,Diesel,V2 LS,"₹ 1,20,000"
1785,Tata,Nano,2014,"64,585 km",1st,Petrol,2012-2015 Twist XT,"₹ 1,35,000"
1786,Maruti Suzuki,Wagon R,2007,"133,916 km",1st,Petrol,VXI,"₹ 1,55,000"
1787,Hyundai,i10,2009,"89,413 km",2nd,Petrol,Sportz,"₹ 2,15,000"
1788,Maruti Suzuki,Swift,2018,"50,100 km",1st,Diesel,2018 VDI,"₹ 6,35,000"
1789,Hyundai,i20,2013,"82,000 km",1st,Diesel,1.4 Sportz,"₹ 2,95,000"
1790,Maruti Suzuki,Alto 800,2021,1 km,1st,Petrol,LXI,"₹ 50,000"
1791,Maruti Suzuki,Swift,2018,"27,000 km",1st,Petrol,VXI,"₹ 5,90,000"
1792,Renault,KWID,2016,"55,000 km",1st,Petrol,RXT,"₹ 2,85,000"
1793,Hyundai,Verna,2006,"124,850 km",4+,Petrol,2006-2009 i (Petrol),"₹ 90,000"
1794,Hyundai,Verna,2015,"34,000 km",2nd,Diesel,2016-2017 1.6 CRDI SX Option,"₹ 6,99,999"
1795,Mahindra,Xylo,2015,"65,000 km",2nd,Diesel,H4,"₹ 5,40,000"
1796,Tata,Winger,2008,"150,000 km",1st,Diesel,Deluxe - Hi Roof (Non-AC),"₹ 2,05,000"
1797,Renault,Duster,2013,"95,000 km",2nd,Diesel,110PS Diesel RxZ AWD,"₹ 5,50,000"
1798,Mahindra,NuvoSport,2016,"40,000 km",1st,Diesel,N8,"₹ 5,25,000"
1799,Volkswagen,Polo,2012,"75,000 km",2nd,Diesel,1.5 TDI Trendline,"₹ 3,25,000"
1800,Maruti Suzuki,Swift,2018,15 km,--,Diesel,--,"₹ 5,55,555"
1801,Datsun,Redi Go,2018,"21,000 km",2nd,Petrol,Others,"₹ 3,15,000"
1802,Maruti Suzuki,Wagon R,2008,"89,000 km",2nd,Petrol,VXI,"₹ 1,60,000"
1803,Chevrolet,Optra Magnum,2010,"86,000 km",2nd,Diesel,2.0 LS,"₹ 1,90,000"
1804,Maruti Suzuki,Wagon R,2007,"78,900 km",3rd,Petrol,2006-2010 VXI Minor,"₹ 2,30,000"
1805,Mercedes-Benz,E-Class,2018,"19,000 km",1st,Diesel,E 220 d,"₹ 56,00,000"
1806,Maruti Suzuki,Eeco,2016,"40,000 km",1st,Petrol,5 Seater AC,"₹ 3,50,000"
1807,Honda,City ZX,2006,"121,000 km",2nd,Petrol,GXi,"₹ 1,00,000"
1808,Toyota,Innova,2014,"180,000 km",2nd,Diesel,2.5 EV Diesel PS 7 Seater BSIII,"₹ 11,50,000"
1809,Honda,Accord,2006,"78,550 km",2nd,Petrol,Accord 2.4 Automatic,"₹ 4,50,000"
1810,BMW,X1,2012,"67,000 km",1st,Diesel,2012-2015 sDrive20d,"₹ 10,95,000"
1811,Tata,Indica,2002,"110,000 km",2nd,Diesel,DLS,"₹ 35,000"
1812,Tata,Tigor,2018,"30,000 km",1st,Diesel,1.2 Revotron XT,"₹ 6,60,000"
1813,Volkswagen,Vento,2016,"86,000 km",2nd,Petrol,Others,"₹ 7,20,000"
1814,Toyota,Fortuner,2015,"110,000 km",1st,Diesel,3.0 Limited Edition,"₹ 20,00,000"
1815,Toyota,Innova,2013,"190,000 km",2nd,Diesel,2012-2013 Chrome 2.5 GX Diesel 8 Seater,"₹ 8,20,000"
1816,Chevrolet,Spark,2009,"34,000 km",2nd,Petrol,2007-2012 1.0 LS,"₹ 1,60,000"
1817,Hyundai,Venue,2021,0 km,--,Petrol,--,"₹ 6,99,200"
1818,Mahindra,XUV500,2015,"77,000 km",2nd,Diesel,2011-2015 W8 4WD,"₹ 10,50,000"
1819,--,--,--,--,--,--,--,--
1820,Hyundai,Santro,2021,0 km,--,Petrol,--,"₹ 4,76,690"
1821,Maruti Suzuki,Swift,2019,"9,900 km",1st,Petrol,VXI,"₹ 6,50,000"
1822,Maruti Suzuki,Celerio,2016,"39,990 km",1st,Petrol,VXI AMT,"₹ 4,40,000"
1823,Chevrolet,Spark,2009,"93,551 km",2nd,Petrol,1.0 LS,"₹ 99,999"
1824,Maruti Suzuki,Celerio,2015,"39,000 km",2nd,Petrol,2014-2017 LXI AT,"₹ 3,95,000"
1825,Tata,Nano,2010,"80,000 km",3rd,Petrol,Others,"₹ 62,000"
1826,Mahindra,Jeep,1998,"970,000 km",1st,Diesel,CL 500 MDI,"₹ 2,65,000"
1827,Maruti Suzuki,S Cross,2017,"31,000 km",--,Diesel,--,"₹ 7,25,000"
1828,Maruti Suzuki,Ciaz,2017,"96,500 km",1st,Diesel,2014-2017 VDi Plus SHVS,"₹ 6,85,000"
1829,--,--,--,--,--,--,--,--
1830,Honda,CR-V,2006,"54,000 km",2nd,Petrol,2.0L 2WD MT,"₹ 4,25,000"
1831,Maruti Suzuki,Omni,2000,"85,000 km",4th,Petrol,Others,"₹ 59,500"
1832,Maruti Suzuki,Wagon R,2010,"75,000 km",3rd,Petrol,VXI,"₹ 2,25,000"
1833,Maruti Suzuki,Swift Dzire Tour,2017,"129,000 km",1st,Diesel,LDI,"₹ 4,75,000"
1834,Maruti Suzuki,800,1998,"45,000 km",3rd,Petrol,AC BSII,"₹ 47,000"
1835,Hyundai,i10,2013,"23,000 km",1st,Petrol,Magna,"₹ 2,85,000"
1836,Maruti Suzuki,Alto K10,2010,"53,000 km",1st,Petrol,VXI,"₹ 1,85,000"
1837,Maruti Suzuki,Swift Dzire,2010,"93,588 km",2nd,Diesel,VDI,"₹ 3,00,000"
1838,--,--,--,--,--,--,--,"₹ 8,000"
1839,Hyundai,Creta,2019,"6,000 km",2nd,Petrol,1.6 EX Petrol,"₹ 9,75,000"
1840,Maruti Suzuki,800,1995,"59,700 km",4+,Petrol,Std,"₹ 35,000"
1841,Maruti Suzuki,Alto K10,2011,"72,000 km",2nd,Petrol,LXI,"₹ 2,05,000"
1842,Toyota,Glanza,2021,"2,400 km",1st,Petrol,V,"₹ 30,000"
1843,Tata,Indica,2007,"333,333 km",2nd,Diesel,DLS,"₹ 45,000"
1844,Maruti Suzuki,800,2005,0 km,1st,Petrol,AC BSIII,"₹ 90,000"
